company_name,number_of_seat,departure_date,departure_time,duration_minutes,pickup_point,dropoff_point,price_original,price_discounted
Vân Anh Limousine,24,15-10-2025,15:00:00,180,Bến xe,Bến xe,230000,0
Vân Anh Limousine,24,15-10-2025,21:30:00,210,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,21:30:00,180,Bến xe,Văn phòng,230000,0
Bình Hoài Limousine,10,15-10-2025,20:00:00,170,Văn phòng,Other,230000,0
Đức Phát,24,15-10-2025,14:00:00,200,Bến xe,Bến xe,250000,0
Vân Anh Limousine,24,15-10-2025,19:00:00,180,Bến xe,Bến xe,230000,0
Vân Anh Limousine,24,15-10-2025,11:30:00,180,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,22:30:00,180,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,12:30:00,210,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,14:30:00,180,Bến xe,Văn phòng,230000,0
An Phát,7,15-10-2025,08:00:00,180,Văn phòng,Văn phòng,250000,0
Vân Anh Limousine,24,15-10-2025,16:30:00,210,Bến xe,Văn phòng,230000,0
Đức Phát,24,15-10-2025,09:00:00,180,Bến xe,Bến xe,250000,0
An Phát,7,15-10-2025,16:00:00,180,Văn phòng,Văn phòng,250000,0
Thành Trung Travel,24,15-10-2025,08:00:00,195,Văn phòng,Văn phòng,250000,225000
An Phát,7,15-10-2025,18:00:00,180,Văn phòng,Văn phòng,250000,0
Vân Anh Limousine,24,15-10-2025,22:30:00,180,Bến xe,Bến xe,230000,0
Vân Anh Limousine,24,15-10-2025,16:00:00,180,Bến xe,Bến xe,230000,0
An Phát,7,15-10-2025,20:00:00,180,Văn phòng,Văn phòng,250000,0
Đức Phát,24,15-10-2025,13:00:00,180,Bến xe,Bến xe,250000,0
36 Limousine,11,15-10-2025,21:01:00,150,Văn phòng,Văn phòng,230000,0
36 Limousine,11,15-10-2025,17:01:00,150,Văn phòng,Văn phòng,230000,0
36 Limousine,11,15-10-2025,07:00:00,150,Văn phòng,Văn phòng,230000,0
36 Limousine,11,15-10-2025,12:01:00,150,Văn phòng,Văn phòng,230000,0
36 Limousine,11,15-10-2025,18:01:00,150,Văn phòng,Văn phòng,230000,0
36 Limousine,11,15-10-2025,12:00:00,150,Văn phòng,Văn phòng,230000,0
36 Limousine,11,15-10-2025,17:00:00,150,Văn phòng,Văn phòng,230000,0
36 Limousine,11,15-10-2025,10:01:00,150,Văn phòng,Văn phòng,230000,0
36 Limousine,11,15-10-2025,11:01:00,150,Văn phòng,Văn phòng,230000,0
36 Limousine,11,15-10-2025,16:01:00,150,Văn phòng,Văn phòng,230000,0
36 Limousine,11,15-10-2025,19:01:00,150,Văn phòng,Văn phòng,230000,0
36 Limousine,11,15-10-2025,11:00:00,150,Văn phòng,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,13:30:00,210,Bến xe,Văn phòng,230000,0
Thành Trung Limousine,11,15-10-2025,22:00:00,120,Văn phòng,Văn phòng,230000,210000
Thành Trung Limousine,11,15-10-2025,23:00:00,120,Văn phòng,Văn phòng,230000,210000
Vân Anh Limousine,24,15-10-2025,13:30:00,180,Bến xe,Văn phòng,230000,0
Bình Hoài Limousine,10,15-10-2025,14:00:00,140,Văn phòng,Văn phòng,230000,0
An Phát,7,15-10-2025,09:00:00,180,Văn phòng,Văn phòng,250000,0
An Phát,7,15-10-2025,13:00:00,180,Văn phòng,Văn phòng,250000,0
Bình Hoài Limousine,10,15-10-2025,16:00:00,140,Văn phòng,Văn phòng,230000,0
Bình Hoài Limousine,10,15-10-2025,20:00:00,140,Văn phòng,Văn phòng,230000,0
Bình Hoài Limousine,10,15-10-2025,12:00:00,170,Văn phòng,Other,230000,0
Đức Phát,24,15-10-2025,15:01:00,150,Bến xe,Bến xe,250000,0
Đức Phát,24,15-10-2025,15:01:00,200,Bến xe,Bến xe,250000,0
Đức Phát,24,15-10-2025,20:01:00,200,Bến xe,Bến xe,250000,0
Đức Phát,11,15-10-2025,18:00:00,150,Văn phòng,Bến xe,210000,0
Đức Phát,24,15-10-2025,09:01:00,200,Bến xe,Bến xe,250000,0
Đức Phát,24,15-10-2025,09:01:00,150,Bến xe,Bến xe,250000,0
Đức Phát,24,15-10-2025,20:01:00,150,Bến xe,Bến xe,250000,0
Đức Phát,24,15-10-2025,18:01:00,150,Bến xe,Bến xe,250000,0
Đức Phát,11,15-10-2025,13:00:00,120,Văn phòng,Văn phòng,180000,0
Đức Phát,11,15-10-2025,10:00:00,120,Văn phòng,Văn phòng,180000,0
Đức Phát,11,15-10-2025,15:00:00,150,Văn phòng,Văn phòng,200000,0
Đức Phát,11,15-10-2025,18:00:00,150,Văn phòng,Văn phòng,200000,0
Đức Phát,11,15-10-2025,20:00:00,120,Văn phòng,Văn phòng,180000,0
Đức Phát,11,15-10-2025,09:00:00,150,Văn phòng,Văn phòng,200000,0
Đức Phát,11,15-10-2025,08:00:00,150,Văn phòng,Văn phòng,200000,0
Đức Phát,11,15-10-2025,09:00:00,120,Văn phòng,Văn phòng,180000,0
