bus_company,bus_star,bus_type,departure_time,pick_up_point,duration_h_m,arrival_time,drop_off_point,arrival_date,price_original,price_discount,discount_percent,notification,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ,star_rating,num_reviews,duration_minutes,discount_percent_numeric
Hiếu Vinh,4.3 (83),Giường nằm 40 chỗ,17:01,• Bến xe An Sương,11h,04:01,• VP Tuy Hòa,(12/10),200000,200000, ,Trung chuyển TP.Tuy Hòa,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83.0,660,
Tín Phát Limousine,4.9 (54),Limousine 24 Phòng,17:45,• Văn Phòng Bình Thạnh,7h30m,01:15,• Ngã 3 Thành,(12/10),450000,405000,-10%, ,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.9,54.0,450,-10.0
Mười Phương Express,4.2 (165),Luxury 34 phòng,15:00,• Bến Xe 34 Tây Lân,6h45m,21:45,• Ngã Ba Thành, ,300000,270000,-10%, ,4.3,4.3,4.3,4.3,4.3,4.3,4.0,4.2,165.0,405,-10.0
Hưng Thịnh,4.9 (91),Limousine 24 Phòng,18:00,• Trạm Bình Tân,9h,03:00,• Khánh Hòa,(12/10),550000,450000,-18%,Lưu ý: Giường A11 và B11,4.9,4.8,4.9,4.9,4.8,4.8,5.0,4.9,91.0,540,-18.0
Hoàng Khang,3.5 (116),Limousine 34 Phòng Đơn,16:00,• Văn Phòng Bình Thạnh,7h30m,23:30,• Ngã 3 Thành, ,330000,295000,-11%,Giá vé không bao ăn,4.3,3.8,4.1,3.8,3.8,3.8,4.8,3.5,116.0,450,-11.0
Hưng Thành (Bình Định),4.8 (63),Limousine 24 Phòng,16:40,• Bến xe Miền Tây,7h20m,00:00,• Ngã 3 Thành,(12/10),500000,350000,-30%, ,4.8,4.6,4.8,4.9,4.8,4.7,4.3,4.8,63.0,440,-30.0
Đà Lạt ơi,4.8 (3425),Limousine 24 Phòng ĐÔI,23:45,• Trạm Quận 1,6h45m,06:30,• Trạm Nha Trang,(12/10),450000,320000,-29%,Lộ trình: N4 Thủ Đức - Quận 1 - Cao tốc,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,3425.0,405,-29.0
Đà Lạt ơi,4.8 (3425),Limousine 24 Phòng ĐÔI,23:49,• Nhà chờ Phương Trang (Đường Mai Chí Thọ),6h41m,06:30,• Trạm Nha Trang,(12/10),450000,320000,-29%,Lộ trình: N4 Thủ Đức - Quận 1 - Cao tốc,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,3425.0,401,-29.0
Đà Lạt ơi,4.8 (3425),Limousine 24 Phòng ĐÔI,23:30,• Trạm Hàng Xanh,6h,05:30,• Trạm Nha Trang,(12/10),450000,320000,-29%,Lộ trình: Hàng Xanh - Quận 1 - Cao tốc đến Cam Ranh,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,3425.0,360,-29.0
Huỳnh Gia,4.7 (8534),Giường nằm 34 chỗ (WC),11:45,• Văn Phòng Phạm Ngũ Lão,6h30m,18:15,• Văn Phòng Nha Trang, ,280000,238000,-15%,Lộ trình: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534.0,390,-15.0
Huỳnh Gia,4.7 (8534),Giường nằm 34 chỗ (WC),20:00,• Cổng Bến xe Miền Tây,8h,04:00,• Văn Phòng Nha Trang.,(12/10),280000,238000,-15%, ,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534.0,480,-15.0
Huỳnh Gia,4.7 (8534),Giường nằm 34 chỗ (WC),23:00,• Văn Phòng Phạm Ngũ Lão,6h30m,05:30,• Văn Phòng Nha Trang,(12/10),280000,238000,-15%,Lộ trình: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534.0,390,-15.0
Bình Minh Tải,4.7 (3650),Limousine 22 Phòng Đôi VIP (WC),23:00,• Văn Phòng Quận 1,7h5m,06:05,• Văn phòng Nha Trang,(12/10),395000,289000,-27%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.6,4.6,4.7,4.6,4.6,4.6,4.8,4.7,3650.0,425,-27.0
Bình Minh Tải,4.7 (3650),Limousine 32 Phòng (WC),12:30,• Văn Phòng Quận 1,7h5m,19:35,• Văn phòng Nha Trang, ,320000,250000,-22%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.6,4.6,4.7,4.6,4.6,4.6,4.8,4.7,3650.0,425,-22.0
Bình Minh Tải,4.7 (3650),Limousine 32 Phòng (WC),13:30,• Bến Xe Miền Đông Mới,6h5m,19:35,• Văn phòng Nha Trang, ,320000,250000,-22%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.6,4.6,4.7,4.6,4.6,4.6,4.8,4.7,3650.0,365,-22.0
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),22:10,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,04:20,• Văn Phòng Nha Trang (KS Mường Thanh),(12/10),480000,450000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845.0,370,-6.0
An Anh Limousine,4.8 (8322),Limousine 24 Phòng Đôi,23:00,• Văn Phòng Quận 5,6h30m,05:30,• Văn phòng Nha Trang,(12/10),449000,349000,-22%,Tiện ích miễn phí,4.8,4.7,4.7,4.7,4.7,4.7,4.6,4.8,8322.0,390,-22.0
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),17:30,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,23:40,• Văn Phòng Nha Trang (KS Mường Thanh), ,320000,300000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845.0,370,-6.0
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),13:05,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,19:15,• Văn Phòng Nha Trang (KS Mường Thanh), ,320000,300000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845.0,370,-6.0
Nhật Dương - Bình Minh Bus,4.9 (5826),Limousine phòng 21 đôi (WC),23:00,• Văn phòng Nguyễn Cư Trinh Quận 1,7h50m,06:50,• Vp Thích Quảng Đức Nha Trang,(12/10),349000,304000,-13%,NX xuất HĐ VAT - Hướng đi: Cao tốc,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826.0,470,-13.0
Nhật Dương - Bình Minh Bus,4.9 (5826),Limousine phòng 21 đôi (WC),05:00,• Văn phòng Nguyễn Cư Trinh Quận 1,7h50m,12:50,• Vp Thích Quảng Đức Nha Trang, ,349000,304000,-13%,NX xuất HĐ VAT - Hướng đi: Cao tốc,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826.0,470,-13.0
Nhật Dương - Bình Minh Bus,4.9 (5826),Limousine phòng 21 đôi (WC),12:30,• Văn phòng Nguyễn Cư Trinh Quận 1,7h50m,20:20,• Vp Thích Quảng Đức Nha Trang, ,349000,304000,-13%,NX xuất HĐ VAT - Hướng đi: Cao tốc,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826.0,470,-13.0
An Anh Limousine,4.8 (8322),Limousine 34 Phòng Đơn,08:00,•  502 Quốc lộ 13,6h30m,14:30,• Văn phòng Nha Trang, ,299000,199000,-33%,Tiện ích miễn phí,4.8,4.7,4.7,4.7,4.7,4.7,4.6,4.8,8322.0,390,-33.0
An Anh Limousine,4.8 (8322),Limousine 34 Phòng Đơn,22:45,• Văn Phòng Quận 5,6h30m,05:15,• Văn phòng Nha Trang,(12/10),299000,199000,-33%,Tiện ích miễn phí,4.8,4.7,4.7,4.7,4.7,4.7,4.6,4.8,8322.0,390,-33.0
Bus365,4.7 (165),Limousine 24 phòng đôi,22:30,• Bến Xe Miền Đông Mới,6h,04:30,• Văn Phòng Nha Trang,(12/10),400000,289000,-28%,Vé Metro miễn phí,4.8,4.6,4.7,4.8,4.7,4.7,4.4,4.7,165.0,360,-28.0
Bus365,4.7 (165),Limousine 24 phòng đôi,12:30,• Bến Xe Miền Đông Mới,6h,18:30,• Văn Phòng Nha Trang, ,400000,289000,-28%,Vé Metro miễn phí,4.8,4.6,4.7,4.8,4.7,4.7,4.4,4.7,165.0,360,-28.0
Phương Nam,4.7 (2431),Giường nằm 32 chỗ (WC),22:05,• Văn phòng Quận 1,8h52m,06:57,• Văn Phòng Chung cư CT2,(12/10),280000,280000, , ,4.8,4.7,4.8,4.7,4.6,4.6,4.8,4.7,2431.0,532,
Phương Nam,4.7 (2431),Giường nằm 40 chỗ có toilet,19:30,• Văn phòng Quận 1,8h52m,04:22,• Văn Phòng Chung cư CT2,(12/10),240000,240000, , ,4.8,4.7,4.8,4.7,4.6,4.6,4.8,4.7,2431.0,532,
Trà Lan Viên,4.4 (4199),Limousine 21 Phòng Đơn (WC),22:30,• Vp. Quận 1,7h20m,05:50,• VP Hà Quang 2,(12/10),450000,400000,-11%,Quý khách lưu ý giường cuối,4.6,4.5,4.5,4.4,4.3,4.3,4.7,4.4,4199.0,440,-11.0
Xe Nhà,4.3 (3213),Giường nằm 40 chỗ (WC),21:00,• Bến xe Miền Đông mới,8h30m,05:30,• VP Nha Trang - Xe Nhà,(12/10),280000,240000,-14%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.3,4.2,4.4,4.2,4.0,4.0,4.5,4.3,3213.0,510,-14.0
Hạnh Cafe - Hà Phương Limousine,4.4 (7326),Limousine 36 Giường (Mới),19:30,• Văn phòng Quận 1,8h30m,04:00,• Văn phòng 106 Phong Châu,(12/10),260000,240000,-8%,Thông báo,4.6,4.4,4.5,4.4,4.3,4.3,4.7,4.4,7326.0,510,-8.0
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,20:30,• Bến xe Miền Tây,7h30m,04:00,• Văn phòng Nha Trang,(12/10),470000,420000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344.0,450,-11.0
Hạnh Cafe - Hà Phương Limousine,4.4 (7326),Limousine 34 Giường,11:00,• Văn phòng Quận 1,8h30m,19:30,• Văn phòng 106 Phong Châu, ,300000,280000,-7%,Thông báo,4.6,4.4,4.5,4.4,4.3,4.3,4.7,4.4,7326.0,510,-7.0
Hạnh Cafe - Hà Phương Limousine,4.4 (7326),Giường nằm 41 chỗ,07:45,• Văn phòng Quận 1,11h45m,19:30,• Văn phòng 106 Phong Châu, ,260000,240000,-8%,Thông báo,4.6,4.4,4.5,4.4,4.3,4.3,4.7,4.4,7326.0,705,-8.0
Xe Nhà,4.3 (3213),Limousine 20 phòng đơn (WC),22:25,• Văn phòng Quận 1,7h15m,05:40,• VP Nha Trang - Xe Nhà,(12/10),350000,310000,-11%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.3,4.2,4.4,4.2,4.0,4.0,4.5,4.3,3213.0,435,-11.0
Liên Hưng,4 (12922),Limousine 21 phòng đơn (WC),20:30,• Bến Xe An Sương (Quầy vé 17),10h,06:30,• Văn Phòng Diên Toàn,(12/10),490000,350000,-29%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,600,-29.0
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,18:20,• Ngã 4 An Sương,6h40m,01:00,• Văn phòng Nha Trang,(12/10),470000,420000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344.0,400,-11.0
Nam Hải Limousine,4.7 (3463),Limousine 34 giường,08:00,• Văn Phòng Phạm Ngũ Lão,8h,16:00,• Văn Phòng Nha Trang, ,300000,300000, ,Lưu ý Đón/Trả tại TP.HCM,4.8,4.7,4.7,4.7,4.7,4.7,4.8,4.7,3463.0,480,
Phương Nam,4.7 (2431),Limousine giường phòng 22 chỗ (WC),22:15,• Văn phòng Quận 1,8h52m,07:07,• Văn Phòng Chung cư CT2,(12/10),440000,440000, , ,4.8,4.7,4.8,4.7,4.6,4.6,4.8,4.7,2431.0,532,
Liên Hưng,4 (12922),Limousine 32 giường (WC),21:30,• Văn phòng Bình Thạnh,8h,05:30,• Văn Phòng Diên Toàn,(12/10),330000,280000,-15%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,480,-15.0
Liên Hưng,4 (12922),Limousine 21 phòng đơn (WC),10:30,• Bến Xe An Sương (Quầy vé 17),8h15m,18:45,• Văn Phòng Diên Toàn, ,490000,300000,-39%,Hướng đi: Cao tốc Vĩnh Hảo - Dầu Giây,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,495,-39.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),20:00,• Bến Xe An Sương - Quầy vé số 10,10h20m,06:20,• Văn Phòng Nha Trang,(12/10),340000,299000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,620,-12.0
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,18:30,• Ngã 4 An Sương,7h15m,01:45,• Văn Phòng Nha Trang,(12/10),470000,420000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344.0,435,-11.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),09:00,• Văn Phòng Bình Thạnh,9h50m,18:50,• Văn Phòng Nha Trang, ,340000,299000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,590,-12.0
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),14:00,• Văn Phòng Bình Thạnh,9h50m,23:50,• Văn Phòng Nha Trang, ,340000,299000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,590,-12.0
Phúc An Express,4.7 (3425),Limousine 32 phòng (WC),20:00,• Văn Phòng Hồ Chí Minh,7h,03:00,• Văn Phòng Nha Trang,(12/10),300000,300000, ,Lộ trình xe chạy,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,3425.0,420,
Huỳnh Gia,4.7 (8534),Giường nằm 34 chỗ (WC),19:00,• Văn Phòng Phạm Ngũ Lão,9h,04:00,• Văn Phòng Nha Trang.,(12/10),280000,238000,-15%, ,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534.0,540,-15.0
Đà Lạt ơi,4.8 (3425),Limousine 24 Phòng ĐÔI,23:49,• Nhà chờ Phương Trang (Đường Mai Chí Thọ),5h41m,05:30,• Trạm Nha Trang,(12/10),450000,320000,-29%,Lộ trình: Hàng Xanh - Quận 1 - Cao tốc đến Cam Ranh,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,3425.0,341,-29.0
Huỳnh Gia,4.7 (8534),Limousine 21 giường phòng (WC),22:10,• Văn Phòng Phạm Ngũ Lão,7h,05:10,• Văn Phòng Nha Trang,(12/10),480000,408000,-15%,Lộ trình: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534.0,420,-15.0
Huỳnh Gia,4.7 (8534),Limousine 21 giường phòng (WC),09:00,• Văn Phòng Phạm Ngũ Lão,7h,16:00,• Văn Phòng Nha Trang, ,480000,408000,-15%,Lộ trình: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534.0,420,-15.0
Huỳnh Gia,4.7 (8534),Limousine 21 giường phòng (WC),12:30,• Văn Phòng Phạm Ngũ Lão,7h,19:30,• Văn Phòng Nha Trang, ,480000,408000,-15%,Lộ trình: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534.0,420,-15.0
Bình Minh Tải,4.7 (3650),Limousine 32 Phòng (WC),13:15,• Bến Xe Miền Đông Mới,6h5m,19:20,• Văn phòng Nha Trang, ,320000,250000,-22%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.6,4.6,4.7,4.6,4.6,4.6,4.8,4.7,3650.0,365,-22.0
Huỳnh Gia,4.7 (8534),Limousine 21 giường phòng (WC),10:00,• Văn Phòng Phạm Ngũ Lão,7h,17:00,• Văn Phòng Nha Trang, ,480000,408000,-15%,Lộ trình: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534.0,420,-15.0
