departure_date,departure_time,arrival_time,duration_minutes
15-10-2025,11:00:00,13:30:00,150
15-10-2025,14:00:00,16:30:00,150
15-10-2025,14:30:00,18:00:00,210
15-10-2025,16:30:00,19:30:00,180
15-10-2025,15:30:00,18:30:00,180
15-10-2025,19:30:00,22:30:00,180
15-10-2025,18:30:00,21:30:00,180
15-10-2025,17:30:00,20:30:00,180
15-10-2025,17:30:00,21:00:00,210
15-10-2025,12:30:00,15:30:00,180
15-10-2025,20:30:00,00:00:00,210
15-10-2025,20:30:00,23:30:00,180
15-10-2025,21:00:00,00:00:00,180
15-10-2025,18:30:00,22:00:00,210
15-10-2025,15:30:00,19:00:00,210
15-10-2025,08:30:00,10:30:00,120
15-10-2025,12:40:00,14:40:00,120
15-10-2025,19:30:00,21:30:00,120
15-10-2025,17:20:00,19:50:00,150
15-10-2025,10:30:00,12:30:00,120
15-10-2025,23:40:00,01:40:00,120
15-10-2025,22:20:00,00:20:00,120
15-10-2025,19:30:00,22:00:00,150
15-10-2025,14:20:00,16:20:00,120
15-10-2025,11:00:00,13:30:00,150
15-10-2025,12:00:00,14:30:00,150
15-10-2025,10:00:00,12:30:00,150
15-10-2025,17:00:00,19:30:00,150
15-10-2025,09:00:00,11:30:00,150
15-10-2025,07:00:00,09:30:00,150
15-10-2025,14:00:00,16:30:00,150
15-10-2025,15:00:00,17:30:00,150
15-10-2025,13:00:00,15:30:00,150
15-10-2025,18:00:00,20:30:00,150
15-10-2025,22:30:00,01:30:00,180
15-10-2025,19:00:00,21:30:00,150
15-10-2025,20:00:00,22:30:00,150
15-10-2025,22:00:00,00:30:00,150
15-10-2025,23:00:00,01:30:00,150
15-10-2025,16:00:00,18:30:00,150
15-10-2025,20:45:00,01:30:00,285
15-10-2025,20:15:00,01:30:00,315
15-10-2025,21:00:00,01:30:00,270
15-10-2025,14:10:00,17:10:00,180
15-10-2025,09:50:00,12:50:00,180
15-10-2025,05:00:00,08:00:00,180
15-10-2025,06:30:00,10:00:00,210
15-10-2025,07:00:00,10:00:00,180
15-10-2025,09:30:00,12:55:00,205
15-10-2025,17:30:00,20:55:00,205
15-10-2025,11:30:00,14:55:00,205
15-10-2025,08:00:00,11:00:00,180
15-10-2025,06:00:00,09:00:00,180
15-10-2025,09:00:00,12:00:00,180
15-10-2025,04:30:00,07:30:00,180
15-10-2025,05:00:00,08:00:00,180
15-10-2025,04:00:00,07:30:00,210
15-10-2025,04:00:00,07:00:00,180
15-10-2025,08:00:00,11:00:00,180
15-10-2025,09:30:00,13:00:00,210
15-10-2025,04:30:00,07:30:00,180
15-10-2025,07:30:00,11:00:00,210
15-10-2025,07:00:00,10:00:00,180
15-10-2025,09:00:00,12:00:00,180
15-10-2025,10:00:00,13:00:00,180
15-10-2025,10:30:00,14:00:00,210
15-10-2025,05:30:00,09:00:00,210
15-10-2025,15:30:00,18:55:00,205
15-10-2025,05:30:00,08:55:00,205
15-10-2025,13:30:00,16:55:00,205
15-10-2025,10:00:00,13:00:00,180
15-10-2025,19:30:00,22:55:00,205
15-10-2025,06:00:00,09:00:00,180
