bus_name,departure_time,pick_up_point,arrival_time,drop_of_point,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ,rating_overall,review_count,number_of_seat,price_original,price_discounted,discounted_percentage,day,date,duration_m,start_point,destination
Xe Nhà,22:25:00,Văn phòng,05:40:00,Văn phòng,4.3,4.2,4.4,4.2,4.0,4.0,4.5,4.3,3213,20,350000000,310000000,11.0,Saturday,11-10-2025,435,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,20:30:00,Bến xe,06:30:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,21,490000000,350000000,29.0,Saturday,11-10-2025,600,Sài Gòn,Nha Trang - Khánh Hoà
Trọng Thủy Limousine,18:20:00,Other,01:00:00,Văn phòng,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,400,Sài Gòn,Nha Trang - Khánh Hoà
Nam Hải Limousine,08:00:00,Văn phòng,16:00:00,Văn phòng,4.8,4.7,4.7,4.7,4.7,4.7,4.8,4.7,3463,34,300000000,300000000,0.0,Saturday,11-10-2025,480,Sài Gòn,Nha Trang - Khánh Hoà
Phương Nam,22:15:00,Văn phòng,07:07:00,Văn phòng,4.8,4.7,4.8,4.7,4.6,4.6,4.8,4.7,2431,22,440000000,440000000,0.0,Saturday,11-10-2025,532,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,21:30:00,Văn phòng,05:30:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,32,330000000,280000000,15.0,Saturday,11-10-2025,480,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,10:30:00,Bến xe,18:45:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,21,490000000,300000000,39.0,Saturday,11-10-2025,495,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,20:00:00,Bến xe,06:20:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,620,Sài Gòn,Nha Trang - Khánh Hoà
Trọng Thủy Limousine,18:30:00,Other,01:45:00,Văn phòng,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,435,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,09:00:00,Văn phòng,18:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,590,Sài Gòn,Nha Trang - Khánh Hoà
