bus_company,bus_star,bus_type,departure_time,pick_up_point,duration_h_m,arrival_time,drop_off_point,arrival_date,original_price,sale_price,discount_percent,notification,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ,
Đà Lạt ơi,4.8 (3425),Limousine 24 Phòng ĐÔI,23:45,• Trạm Quận 1,5h45m,05:30,• Trạm Nha Trang,(12/10),450.000,320.000,-29%,Lộ trình: Hàng Xanh - Quận 1 - Cao tốc đến Cam Ranh,4.8,4.8,4.8,4.8,4.8,4.8,4.8,
Huỳnh Gia,4.7 (8534),Giường nằm 34 chỗ (WC),11:00,• Văn Phòng Phạm Ngũ Lão,6h30m,17:30,• Văn Phòng Nha Trang,,280.000,238.000,-15%,,4.8,4.7,4.7,4.7,4.6,4.6,4.7,
Bình Minh Tải,4.7 (3650),Limousine 22 Phòng Đôi VIP (WC),23:15,• Văn Phòng Quận 1,7h5m,06:20,• Văn phòng Nha Trang,(12/10),395.000,289.000,-27%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.6,4.6,4.7,4.6,4.6,4.6,4.8,
An Anh Limousine,4.8 (8322),Limousine 24 Phòng Đôi,05:00,• Văn Phòng Quận 5,6h30m,11:30,• Văn phòng Nha Trang,,449.000,299.000,-33%,Tiện ích miễn phí,4.8,4.7,4.7,4.7,4.7,4.7,4.6,
Nhật Dương - Bình Minh Bus,4.9 (5826),Limousine phòng 22 đôi (WC),22:35,• Văn phòng Nguyễn Cư Trinh Quận 1,7h50m,06:25,• Vp Thích Quảng Đức Nha Trang,(12/10),349.000,304.000,-13%,NX xuất HĐ VAT - Hướng đi: Cao tốc,4.9,4.9,4.9,4.9,4.9,4.8,4.8,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),23:20,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,05:30,• Văn Phòng Nha Trang (KS Mường Thanh),(12/10),320.000,300.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Nam Hải Limousine,4.7 (3463),Limousine 22 giường,10:15,• Văn Phòng Phạm Ngũ Lão,8h,18:15,• Văn Phòng Nha Trang,,420.000,370.000,-12%,Lưu ý Đón/Trả tại TP.HCM,4.8,4.7,4.7,4.7,4.7,4.7,4.8,
Bus365,4.7 (165),Limousine 24 phòng đôi,13:00,• Bến Xe Miền Đông Mới,6h,19:00,• Văn Phòng Nha Trang,,400.000,289.000,-28%,Vé Metro miễn phí,4.8,4.6,4.7,4.8,4.7,4.7,4.4,
Trà Lan Viên,4.4 (4199),Limousine 21 Phòng Đơn (WC),23:00,• Vp. Quận 1,7h20m,06:20,• VP Hà Quang 2,(12/10),450.000,400.000,-11%,Quý khách lưu ý giường cuối,4.6,4.5,4.5,4.4,4.3,4.3,4.7,
Phương Nam,4.7 (2431),Giường nằm 40 chỗ có toilet,22:00,• Văn phòng Quận 1,8h52m,06:52,• Văn Phòng Chung cư CT2,(12/10),240.000,240.000,,,4.8,4.7,4.8,4.7,4.6,4.6,4.8,
Hạnh Cafe - Hà Phương Limousine,4.4 (7326),Limousine 34 Giường,22:15,• Văn phòng Quận 1,8h30m,06:45,• Văn phòng 106 Phong Châu,(12/10),300.000,280.000,-7%,Thông báo,4.6,4.4,4.5,4.4,4.3,4.3,4.7,
Xe Nhà,4.3 (3213),Giường nằm 40 chỗ (WC),22:15,• Văn phòng Quận 1,7h15m,05:30,• VP Nha Trang - Xe Nhà,(12/10),280.000,240.000,-14%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.3,4.2,4.4,4.2,4.0,4.0,4.5,
Liên Hưng,4 (12922),Limousine 21 phòng đơn (WC),22:15,• Bến xe Miền Tây (Quầy 24),8h45m,07:00,• Văn phòng Nha Trang,(12/10),500.000,300.000,-40%,,4.3,4.2,4.3,4.1,4.0,3.9,4.2,
Cúc Tùng,3.8 (2763),Giường nằm 32 chỗ,05:30,• Văn Phòng Bình Thạnh,9h50m,15:20,• Văn Phòng Nha Trang,,362.000,300.000,-17%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
Quang Hạnh (NT),3.6 (362),Limousine 22 phòng đơn (WC),19:30,• Bến xe Miền Tây (Quầy 25),9h25m,04:55,• Bến Xe Phía Nam Nha Trang Mới,(12/10),480.000,350.000,-27%,Lưu ý kích cỡ giường,4.1,3.7,3.9,3.9,3.8,3.6,3.6,
Phúc An Express,4.7 (3425),Limousine 22 giường phòng (WC),22:15,• Văn Phòng Sài Gòn,7h30m,05:45,• Văn Phòng Nha Trang,(12/10),470.000,470.000,,Lộ trình xe chạy,4.8,4.7,4.7,4.7,4.6,4.6,4.7,
Hà Linh,4.1 (1329),Limousine 22 Phòng,18:00,• Bến xe An Sương,9h30m,03:30,• Văn Phòng Nha Trang,(12/10),300.000,290.000,-3%,Trung chuyển Hồ Chí Minh,4.4,4.3,4.3,4.2,4.0,4.0,4.8,
Việt Nhật,4.7 (816),Limousine 34 Giường,22:30,• Văn phòng Quận 1,8h20m,06:50,• Vp. Nha Trang,(12/10),280.000,280.000,,Lưu ý,4.8,4.7,4.8,4.8,4.6,4.7,4.8,
Quang Dũng VIP Limousine,3.7 (887),Giường phòng 32 chỗ (Có WC),05:30,• Bến Xe An Sương,9h5m,14:35,• Văn phòng Nha Trang,,550.000,550.000,,"Lưu ý chính sách bao cơm, kích thước giường cuối và thời gian",4.0,3.8,3.8,3.9,3.8,3.7,4.3,
Long Vân Limousine,4.5 (6899),Limousine phòng đôi 22 chỗ (WC),13:00,• Văn phòng Bình Thạnh,7h,20:00,• Văn Phòng Nha Trang,,350.000,315.000,-10%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.5,4.4,4.5,4.5,4.4,4.4,4.7,
Tài Phát Limousine,5 (1170),Limousine 24 Phòng Đôi,20:00,• Bến xe Miền Tây,7h25m,03:25,• Ngã 3 Thành,(12/10),520.000,450.000,-13%,Lưu ý hướng đi cao tốc >>>,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
Như Ý 78 (Phú Yên),4.6 (135),Limousine 24 phòng,18:00,• Bến xe An Sương (Tp HCM).,8h45m,02:45,• Ninh Hòa (Dọc Quốc Lộ 1A),(12/10),Từ 290.000,Từ 290.000,,Trung chuyển TP.Tuy Hòa,4.7,4.6,4.6,4.6,4.6,4.5,4.5,
Rạng Đông Buslines,4.2 (1481),Limousine 34 phòng,15:01,• Bến xe An Sương (Phòng vé số 3),7h45m,22:46,• Ngã 3 nhà máy sợi Nha Trang,,500.000,400.000,-20%,Giá vé bao gồm phần ăn,4.5,4.2,4.3,4.3,4.2,4.2,4.6,
Tuấn Tú Express,4.5 (1392),Giường nằm 46 chỗ,14:30,• Trạm Bà Điểm,7h,21:30,• Khánh Hòa,,450.000,290.000,-36%,Chính sách bao ăn,4.7,4.6,4.6,4.6,4.5,4.5,4.6,
Hiếu Vinh,4.3 (83),Giường nằm 40 chỗ,17:01,• Bến xe An Sương,11h,04:01,• VP Tuy Hòa,(12/10),Từ 200.000,Từ 200.000,,Trung chuyển TP.Tuy Hòa,4.6,4.5,4.5,4.5,4.4,4.4,4.5,
Tín Phát Limousine,4.9 (54),Limousine 24 Phòng,17:45,• Văn Phòng Bình Thạnh,7h30m,01:15,• Ngã 3 Thành,(12/10),450.000,405.000,-10%,,4.9,4.9,4.9,4.9,4.9,4.9,4.8,
Mười Phương Express,4.2 (165),Luxury 34 phòng,15:00,• Bến Xe 34 Tây Lân,6h45m,21:45,• Ngã Ba Thành,,300.000,270.000,-10%,,4.3,4.3,4.3,4.3,4.3,4.3,4.0,
Hưng Thịnh,4.9 (91),Limousine 24 Phòng,18:00,• Trạm Bình Tân,9h,03:00,• Khánh Hòa,(12/10),550.000,450.000,-18%,Lưu ý: Giường A11 và B11,4.9,4.8,4.9,4.9,4.8,4.8,5.0,
Hoàng Khang,3.5 (116),Limousine 34 Phòng Đơn,16:00,• Văn Phòng Bình Thạnh,7h30m,23:30,• Ngã 3 Thành,,330.000,295.000,-11%,Giá vé không bao ăn,4.3,3.8,4.1,3.8,3.8,3.8,4.8,
Hưng Thành (Bình Định),4.8 (63),Limousine 24 Phòng,16:40,• Bến xe Miền Tây,7h20m,00:00,• Ngã 3 Thành,(12/10),500.000,350.000,-30%,,4.8,4.6,4.8,4.9,4.8,4.7,4.3,
Đà Lạt ơi,4.8 (3425),Limousine 24 Phòng ĐÔI,23:45,• Trạm Quận 1,6h45m,06:30,• Trạm Nha Trang,(12/10),450.000,320.000,-29%,Lộ trình: N4 Thủ Đức - Quận 1 - Cao tốc,4.8,4.8,4.8,4.8,4.8,4.8,4.8,
Đà Lạt ơi,4.8 (3425),Limousine 24 Phòng ĐÔI,23:49,• Nhà chờ Phương Trang (Đường Mai Chí Thọ),6h41m,06:30,• Trạm Nha Trang,(12/10),450.000,320.000,-29%,Lộ trình: N4 Thủ Đức - Quận 1 - Cao tốc,4.8,4.8,4.8,4.8,4.8,4.8,4.8,
Đà Lạt ơi,4.8 (3425),Limousine 24 Phòng ĐÔI,23:30,• Trạm Hàng Xanh,6h,05:30,• Trạm Nha Trang,(12/10),450.000,320.000,-29%,Lộ trình: Hàng Xanh - Quận 1 - Cao tốc đến Cam Ranh,4.8,4.8,4.8,4.8,4.8,4.8,4.8,
Huỳnh Gia,4.7 (8534),Giường nằm 34 chỗ (WC),11:45,• Văn Phòng Phạm Ngũ Lão,6h30m,18:15,• Văn Phòng Nha Trang,,280.000,238.000,-15%,Lộ trình: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.8,4.7,4.7,4.7,4.6,4.6,4.7,
Huỳnh Gia,4.7 (8534),Giường nằm 34 chỗ (WC),20:00,• Cổng Bến xe Miền Tây,8h,04:00,• Văn Phòng Nha Trang.,(12/10),280.000,238.000,-15%,,4.8,4.7,4.7,4.7,4.6,4.6,4.7,
Huỳnh Gia,4.7 (8534),Giường nằm 34 chỗ (WC),23:00,• Văn Phòng Phạm Ngũ Lão,6h30m,05:30,• Văn Phòng Nha Trang,(12/10),280.000,238.000,-15%,Lộ trình: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.8,4.7,4.7,4.7,4.6,4.6,4.7,
Bình Minh Tải,4.7 (3650),Limousine 22 Phòng Đôi VIP (WC),23:00,• Văn Phòng Quận 1,7h5m,06:05,• Văn phòng Nha Trang,(12/10),395.000,289.000,-27%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.6,4.6,4.7,4.6,4.6,4.6,4.8,
Bình Minh Tải,4.7 (3650),Limousine 32 Phòng (WC),12:30,• Văn Phòng Quận 1,7h5m,19:35,• Văn phòng Nha Trang,,320.000,250.000,-22%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.6,4.6,4.7,4.6,4.6,4.6,4.8,
Bình Minh Tải,4.7 (3650),Limousine 32 Phòng (WC),13:30,• Bến Xe Miền Đông Mới,6h5m,19:35,• Văn phòng Nha Trang,,320.000,250.000,-22%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.6,4.6,4.7,4.6,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),22:10,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,04:20,• Văn Phòng Nha Trang (KS Mường Thanh),(12/10),480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
An Anh Limousine,4.8 (8322),Limousine 24 Phòng Đôi,23:00,• Văn Phòng Quận 5,6h30m,05:30,• Văn phòng Nha Trang,(12/10),449.000,349.000,-22%,Tiện ích miễn phí,4.8,4.7,4.7,4.7,4.7,4.7,4.6,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),17:30,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,23:40,• Văn Phòng Nha Trang (KS Mường Thanh),,320.000,300.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),13:05,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,19:15,• Văn Phòng Nha Trang (KS Mường Thanh),,320.000,300.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Nhật Dương - Bình Minh Bus,4.9 (5826),Limousine phòng 21 đôi (WC),23:00,• Văn phòng Nguyễn Cư Trinh Quận 1,7h50m,06:50,• Vp Thích Quảng Đức Nha Trang,(12/10),349.000,304.000,-13%,NX xuất HĐ VAT - Hướng đi: Cao tốc,4.9,4.9,4.9,4.9,4.9,4.8,4.8,
Nhật Dương - Bình Minh Bus,4.9 (5826),Limousine phòng 21 đôi (WC),05:00,• Văn phòng Nguyễn Cư Trinh Quận 1,7h50m,12:50,• Vp Thích Quảng Đức Nha Trang,,349.000,304.000,-13%,NX xuất HĐ VAT - Hướng đi: Cao tốc,4.9,4.9,4.9,4.9,4.9,4.8,4.8,
Nhật Dương - Bình Minh Bus,4.9 (5826),Limousine phòng 21 đôi (WC),12:30,• Văn phòng Nguyễn Cư Trinh Quận 1,7h50m,20:20,• Vp Thích Quảng Đức Nha Trang,,349.000,304.000,-13%,NX xuất HĐ VAT - Hướng đi: Cao tốc,4.9,4.9,4.9,4.9,4.9,4.8,4.8,
An Anh Limousine,4.8 (8322),Limousine 34 Phòng Đơn,08:00,•  502 Quốc lộ 13,6h30m,14:30,• Văn phòng Nha Trang,,299.000,199.000,-33%,Tiện ích miễn phí,4.8,4.7,4.7,4.7,4.7,4.7,4.6,
An Anh Limousine,4.8 (8322),Limousine 34 Phòng Đơn,22:45,• Văn Phòng Quận 5,6h30m,05:15,• Văn phòng Nha Trang,(12/10),299.000,199.000,-33%,Tiện ích miễn phí,4.8,4.7,4.7,4.7,4.7,4.7,4.6,
Bus365,4.7 (165),Limousine 24 phòng đôi,22:30,• Bến Xe Miền Đông Mới,6h,04:30,• Văn Phòng Nha Trang,(12/10),400.000,289.000,-28%,Vé Metro miễn phí,4.8,4.6,4.7,4.8,4.7,4.7,4.4,
Bus365,4.7 (165),Limousine 24 phòng đôi,12:30,• Bến Xe Miền Đông Mới,6h,18:30,• Văn Phòng Nha Trang,,400.000,289.000,-28%,Vé Metro miễn phí,4.8,4.6,4.7,4.8,4.7,4.7,4.4,
Phương Nam,4.7 (2431),Giường nằm 32 chỗ (WC),22:05,• Văn phòng Quận 1,8h52m,06:57,• Văn Phòng Chung cư CT2,(12/10),280.000,280.000,,,4.8,4.7,4.8,4.7,4.6,4.6,4.8,
Phương Nam,4.7 (2431),Giường nằm 40 chỗ có toilet,19:30,• Văn phòng Quận 1,8h52m,04:22,• Văn Phòng Chung cư CT2,(12/10),240.000,240.000,,,4.8,4.7,4.8,4.7,4.6,4.6,4.8,
Trà Lan Viên,4.4 (4199),Limousine 21 Phòng Đơn (WC),22:30,• Vp. Quận 1,7h20m,05:50,• VP Hà Quang 2,(12/10),450.000,400.000,-11%,Quý khách lưu ý giường cuối,4.6,4.5,4.5,4.4,4.3,4.3,4.7,
Xe Nhà,4.3 (3213),Giường nằm 40 chỗ (WC),21:00,• Bến xe Miền Đông mới,8h30m,05:30,• VP Nha Trang - Xe Nhà,(12/10),280.000,240.000,-14%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.3,4.2,4.4,4.2,4.0,4.0,4.5,
Hạnh Cafe - Hà Phương Limousine,4.4 (7326),Limousine 36 Giường (Mới),19:30,• Văn phòng Quận 1,8h30m,04:00,• Văn phòng 106 Phong Châu,(12/10),260.000,240.000,-8%,Thông báo,4.6,4.4,4.5,4.4,4.3,4.3,4.7,
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,20:30,• Bến xe Miền Tây,7h30m,04:00,• Văn phòng Nha Trang,(12/10),470.000,420.000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,
Hạnh Cafe - Hà Phương Limousine,4.4 (7326),Limousine 34 Giường,11:00,• Văn phòng Quận 1,8h30m,19:30,• Văn phòng 106 Phong Châu,,300.000,280.000,-7%,Thông báo,4.6,4.4,4.5,4.4,4.3,4.3,4.7,
Hạnh Cafe - Hà Phương Limousine,4.4 (7326),Giường nằm 41 chỗ,07:45,• Văn phòng Quận 1,11h45m,19:30,• Văn phòng 106 Phong Châu,,260.000,240.000,-8%,Thông báo,4.6,4.4,4.5,4.4,4.3,4.3,4.7,
Xe Nhà,4.3 (3213),Limousine 20 phòng đơn (WC),22:25,• Văn phòng Quận 1,7h15m,05:40,• VP Nha Trang - Xe Nhà,(12/10),350.000,310.000,-11%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.3,4.2,4.4,4.2,4.0,4.0,4.5,
Liên Hưng,4 (12922),Limousine 21 phòng đơn (WC),20:30,• Bến Xe An Sương (Quầy vé 17),10h,06:30,• Văn Phòng Diên Toàn,(12/10),490.000,350.000,-29%,,4.3,4.2,4.3,4.1,4.0,3.9,4.2,
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,18:20,• Ngã 4 An Sương,6h40m,01:00,• Văn phòng Nha Trang,(12/10),470.000,420.000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,
Nam Hải Limousine,4.7 (3463),Limousine 34 giường,08:00,• Văn Phòng Phạm Ngũ Lão,8h,16:00,• Văn Phòng Nha Trang,,300.000,300.000,,Lưu ý Đón/Trả tại TP.HCM,4.8,4.7,4.7,4.7,4.7,4.7,4.8,
Phương Nam,4.7 (2431),Limousine giường phòng 22 chỗ (WC),22:15,• Văn phòng Quận 1,8h52m,07:07,• Văn Phòng Chung cư CT2,(12/10),440.000,440.000,,,4.8,4.7,4.8,4.7,4.6,4.6,4.8,
Liên Hưng,4 (12922),Limousine 32 giường (WC),21:30,• Văn phòng Bình Thạnh,8h,05:30,• Văn Phòng Diên Toàn,(12/10),330.000,280.000,-15%,,4.3,4.2,4.3,4.1,4.0,3.9,4.2,
Liên Hưng,4 (12922),Limousine 21 phòng đơn (WC),10:30,• Bến Xe An Sương (Quầy vé 17),8h15m,18:45,• Văn Phòng Diên Toàn,,490.000,300.000,-39%,Hướng đi: Cao tốc Vĩnh Hảo - Dầu Giây,4.3,4.2,4.3,4.1,4.0,3.9,4.2,
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),20:00,• Bến Xe An Sương - Quầy vé số 10,10h20m,06:20,• Văn Phòng Nha Trang,(12/10),340.000,299.000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,18:30,• Ngã 4 An Sương,7h15m,01:45,• Văn Phòng Nha Trang,(12/10),470.000,420.000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),09:00,• Văn Phòng Bình Thạnh,9h50m,18:50,• Văn Phòng Nha Trang,,340.000,299.000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),14:00,• Văn Phòng Bình Thạnh,9h50m,23:50,• Văn Phòng Nha Trang,,340.000,299.000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
Phúc An Express,4.7 (3425),Limousine 32 phòng (WC),20:00,• Văn Phòng Hồ Chí Minh,7h,03:00,• Văn Phòng Nha Trang,(12/10),300.000,300.000,,Lộ trình xe chạy,4.8,4.7,4.7,4.7,4.6,4.6,4.7,
Huỳnh Gia,4.7 (8534),Giường nằm 34 chỗ (WC),19:00,• Văn Phòng Phạm Ngũ Lão,9h,04:00,• Văn Phòng Nha Trang.,(12/10),280.000,238.000,-15%,,4.8,4.7,4.7,4.7,4.6,4.6,4.7,
Đà Lạt ơi,4.8 (3425),Limousine 24 Phòng ĐÔI,23:49,• Nhà chờ Phương Trang (Đường Mai Chí Thọ),5h41m,05:30,• Trạm Nha Trang,(12/10),450.000,320.000,-29%,Lộ trình: Hàng Xanh - Quận 1 - Cao tốc đến Cam Ranh,4.8,4.8,4.8,4.8,4.8,4.8,4.8,
Huỳnh Gia,4.7 (8534),Limousine 21 giường phòng (WC),22:10,• Văn Phòng Phạm Ngũ Lão,7h,05:10,• Văn Phòng Nha Trang,(12/10),480.000,408.000,-15%,Lộ trình: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.8,4.7,4.7,4.7,4.6,4.6,4.7,
Huỳnh Gia,4.7 (8534),Limousine 21 giường phòng (WC),09:00,• Văn Phòng Phạm Ngũ Lão,7h,16:00,• Văn Phòng Nha Trang,,480.000,408.000,-15%,Lộ trình: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.8,4.7,4.7,4.7,4.6,4.6,4.7,
Huỳnh Gia,4.7 (8534),Limousine 21 giường phòng (WC),12:30,• Văn Phòng Phạm Ngũ Lão,7h,19:30,• Văn Phòng Nha Trang,,480.000,408.000,-15%,Lộ trình: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.8,4.7,4.7,4.7,4.6,4.6,4.7,
Bình Minh Tải,4.7 (3650),Limousine 32 Phòng (WC),13:15,• Bến Xe Miền Đông Mới,6h5m,19:20,• Văn phòng Nha Trang,,320.000,250.000,-22%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.6,4.6,4.7,4.6,4.6,4.6,4.8,
Huỳnh Gia,4.7 (8534),Limousine 21 giường phòng (WC),10:00,• Văn Phòng Phạm Ngũ Lão,7h,17:00,• Văn Phòng Nha Trang,,480.000,408.000,-15%,Lộ trình: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.8,4.7,4.7,4.7,4.6,4.6,4.7,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),20:00,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,02:10,• Văn Phòng Nha Trang (KS Mường Thanh),(12/10),320.000,300.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),10:00,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,16:10,• Văn Phòng Nha Trang (KS Mường Thanh),,480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),22:20,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,04:30,• Văn Phòng Nha Trang (KS Mường Thanh),(12/10),320.000,300.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),12:10,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,18:20,• Văn Phòng Nha Trang (KS Mường Thanh),,480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Huỳnh Gia,4.7 (8534),Limousine 21 giường phòng (WC),15:00,• Văn Phòng Phạm Ngũ Lão,7h,22:00,• Văn Phòng Nha Trang,,480.000,456.000,-5%,Lộ trình: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.8,4.7,4.7,4.7,4.6,4.6,4.7,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),23:40,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,05:50,• Văn Phòng Nha Trang (KS Mường Thanh),(12/10),480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Đà Lạt ơi,4.8 (3425),Limousine 24 Phòng ĐÔI,23:00,• Ngã 4 Bình Phước (Hướng QL13),7h30m,06:30,• Trạm Nha Trang,(12/10),450.000,320.000,-29%,Lộ trình: N4 Thủ Đức - Quận 1 - Cao tốc,4.8,4.8,4.8,4.8,4.8,4.8,4.8,
Huỳnh Gia,4.7 (8534),Giường nằm 34 chỗ (WC),22:20,• Văn Phòng Phạm Ngũ Lão,7h,05:20,• Văn Phòng Nha Trang.,(12/10),300.000,300.000,,Lộ trình: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.8,4.7,4.7,4.7,4.6,4.6,4.7,
