,bus_name,bus_rating,seat_type,departure_time,pick_up_point,arrival_date,arrival_time,drop_of_point,duartion,original_price,sale_price,percent_discount,departure_date,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ,
31,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,08:05,• Bến xe Nước Ngầm,,10:35,• Bến xe phía Tây Thanh Hóa,2h30m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
32,Thành Trung Limousine,4 (113),Limousine 11 chỗ,14:00,• Văn phòng Hà Nội,,16:00,• Văn Phòng Thanh Hóa,2h,230.000,210.000,-9%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,
33,Thơm Phụng,4.6 (18),Limousine 24 phòng,10:00,• Bến xe Nước Ngầm,,12:15,• Big C Thanh Hóa,2h15m,200.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.6,4.8,4.8,4.6,4.5,5.0,
34,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,11:00,• Bến xe Nước Ngầm,,14:00,• Bến xe Thọ Xuân,3h,230.000,200.000,-13%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
35,Vĩnh Quang,4.8 (25),Limousine 10 chỗ,17:25,• VP Linh Đàm,,19:55,• VP Thanh Hóa - 143 Lê Hồng Phong,2h30m,170.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,
36,Thơm Phụng,4.6 (18),Limousine 24 phòng,13:30,• Bến xe Nước Ngầm,,15:45,• Big C Thanh Hóa,2h15m,200.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.6,4.8,4.8,4.6,4.5,5.0,
37,Vĩnh Quang,4.8 (25),Limousine 10 chỗ,20:25,• VP Linh Đàm,,22:55,• VP Thanh Hóa - 143 Lê Hồng Phong,2h30m,170.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,
38,Vĩnh Quang,4.8 (25),Limousine 10 chỗ,12:25,• VP Linh Đàm,,14:55,• VP Thanh Hóa - 143 Lê Hồng Phong,2h30m,170.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,
39,Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,17:00,• Bến xe Nước Ngầm,,20:00,• Bến xe phía bắc Thanh Hóa,3h,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,
40,36 Limousine,4.8 (502),Limousine 11 chỗ,10:00,• Văn phòng Đồng Tàu,,12:30,• Văn phòng Thanh Hóa,2h30m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,
41,36 Limousine,4.8 (502),Limousine 11 chỗ,14:00,• Văn phòng Đồng Tàu,,16:30,• Văn phòng Thanh Hóa,2h30m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,
42,36 Limousine,4.8 (502),Limousine 11 chỗ,08:01,• Văn phòng Đồng Tàu,,10:31,• Văn phòng Thanh Hóa,2h30m,230.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,
43,Đức Phát (Thanh Hóa),4.7 (87),Limousine 11 chỗ,15:00,• Văn Phòng Hà Nội,,17:30,• Bến xe phía Tây Thanh Hóa,2h30m,210.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
44,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,18:00,• Bến xe Nước Ngầm,,20:30,• Bến xe phía Tây Thanh Hóa,2h30m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
45,Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,06:00,• Bến xe Nước Ngầm,,08:30,• Bến xe phía Tây Thanh Hóa,2h30m,250.000,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,
46,Thành Trung Limousine,4 (113),Limousine 11 chỗ,18:00,• Văn phòng Hà Nội,,20:00,• Văn Phòng Thanh Hóa,2h,230.000,210.000,-9%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,
